factid,yearid,locationid,topicid,questionid,stratificationid,datavalue,lowconfidence,highconfidence,samplesize
1,4,66,OWS,Q036,EDUHSGRAD,29.3,25.7,33.3,842
2,5,66,PA,Q044,RACEHIS,27.4,18.6,38.5,125
3,2,56,OWS,Q037,RACENAA,48.5,32.3,64.9,69
4,2,11,OWS,Q036,EDUHS,31.6,24.0,40.4,243
5,5,72,PA,Q047,INC2535,38.1,32.6,43.8,421
6,1,1,OWS,Q036,AGEYR2534,35.2,30.7,40.0,598
7,5,66,PA,Q047,EDUHSGRAD,30.5,25.8,35.6,559
8,5,44,OWS,Q037,RACEHIS,40.2,33.3,47.4,354
9,2,56,PA,Q047,INCLESS15,32.3,25.6,39.8,484
10,10,10,PA,Q047,RACEASN,15.3,6.9,30.6,65
11,5,66,OWS,Q036,AGEYR5564,33.7,25.1,43.4,285
12,1,44,OWS,Q036,RACEOTH,32.1,21.6,44.8,109
13,7,34,PA,Q046,RACEOTH,19.8,10.5,34.4,59
14,7,53,FV,Q018,INCLESS15,36.1,31.5,41.0,766
15,5,72,OWS,Q037,AGEYR5564,42.0,38.4,45.7,997
16,4,72,OWS,Q037,INCLESS15,36.1,33.6,38.7,2214
17,4,66,OWS,Q036,INCLESS15,34.5,27.8,41.9,333
18,5,72,PA,Q047,AGEYR4554,50.4,46.4,54.3,862
19,5,72,OWS,Q036,OVERALL,29.5,28.0,31.1,5154
20,10,23,PA,Q047,MALE,21.7,19.9,23.7,4518
21,6,26,PA,Q047,INC5075,21.5,19.0,24.3,1664
22,6,56,OWS,Q037,FEMALE,29.8,26.9,32.8,2293
23,6,51,OWS,Q037,AGEYR3544,40.1,36.5,43.8,951
24,6,53,PA,Q047,AGEYR5564,18.8,17.1,20.7,3054
25,6,6,PA,Q047,RACE2PLUS,13.7,9.7,19.2,273
26,6,49,OWS,Q037,INCNR,33.0,29.7,36.4,1506
27,6,36,OWS,Q036,MALE,25.9,24.5,27.3,14316
28,6,44,OWS,Q036,EDUCOGRAD,20.1,17.9,22.4,2071
29,6,6,OWS,Q036,EDUHS,36.0,32.9,39.2,1256
30,6,53,OWS,Q036,RACEWHT,29.1,28.0,30.2,10788
31,6,25,PA,Q047,RACEWHT,17.5,16.3,18.8,6581
32,6,10,OWS,Q037,RACEWHT,38.5,36.0,41.1,2645
33,6,1,OWS,Q037,AGEYR5564,35.3,32.2,38.5,1402
34,6,5,OWS,Q037,MALE,38.0,34.4,41.7,1918
35,6,17,OWS,Q037,FEMALE,27.5,25.4,29.7,2492
36,6,33,OWS,Q036,MALE,26.6,24.4,28.9,2732
37,6,72,PA,Q047,AGEYR4554,44.3,40.1,48.6,916
38,6,35,OWS,Q036,OVERALL,28.3,26.6,30.1,5531
39,5,66,PA,Q044,RACEWHT,29.5,19.0,42.7,139
40,8,24,PA,Q047,RACEHIS,32.5,28.0,37.5,671
41,7,51,PA,Q047,RACEWHT,24.2,22.8,25.7,6533
42,10,27,PA,Q047,INC1525,28.5,25.8,31.4,1664
43,2,34,OWS,Q036,INC3550,25.0,22.0,28.4,1533
44,7,15,OWS,Q036,MALE,25.1,23.2,27.1,3529
45,5,72,PA,Q043,AGEYR2534,39.0,34.7,43.4,613
46,3,72,OWS,Q037,INCLESS15,37.4,34.8,40.0,2273
47,5,72,PA,Q043,EDUHS,26.1,23.0,29.6,1085
48,7,66,PA,Q047,INCLESS15,46.1,37.2,55.3,200
49,4,22,PA,Q047,RACE2PLUS,23.6,12.8,39.2,74
50,10,46,PA,Q047,MALE,22.6,19.5,26.1,3064
51,7,44,FV,Q019,INC2535,26.0,19.1,34.2,381
52,5,72,PA,Q046,OVERALL,10.9,9.9,12.0,5296
53,7,48,PA,Q046,RACEASN,39.0,27.2,52.3,217
54,4,72,OWS,Q037,AGEYR4554,42.7,38.9,46.6,960
55,7,25,FV,Q018,RACEHIS,29.9,24.7,35.6,452
56,5,72,PA,Q046,INCNR,8.8,6.6,11.6,922
57,5,66,OWS,Q036,AGEYR1824,25.0,16.8,35.5,195
58,5,66,PA,Q046,AGEYR5564,21.1,15.2,28.4,266
59,5,46,OWS,Q036,AGEYR3544,35.8,30.5,41.5,742
60,10,56,PA,Q047,AGEYR5564,24.0,20.5,27.8,927
61,4,72,OWS,Q037,INC75PLUS,42.8,34.5,51.5,199
62,6,33,OWS,Q036,OVERALL,26.6,25.0,28.2,5888
63,6,51,OWS,Q037,EDUHSGRAD,35.4,32.8,38.0,2168
64,6,8,PA,Q047,INC1525,25.9,23.2,28.8,1692
65,6,40,OWS,Q036,MALE,33.3,30.9,35.6,2710
66,6,28,OWS,Q036,INC1525,41.9,37.6,46.3,964
67,6,41,PA,Q047,RACEHIS,30.5,25.1,36.4,326
68,6,54,OWS,Q037,EDUHS,33.1,29.5,36.9,771
69,6,55,PA,Q047,INCNR,23.8,19.8,28.4,733
70,6,20,OWS,Q036,RACEWHT,30.5,29.4,31.7,9541
71,6,12,OWS,Q036,FEMALE,26.6,25.2,28.1,18545
72,6,16,OWS,Q037,AGEYR5564,38.4,34.4,42.5,1009
73,6,53,PA,Q047,EDUHS,30.5,26.7,34.5,760
74,6,22,OWS,Q036,INC2535,36.6,29.9,43.8,474
75,6,34,OWS,Q036,EDUHSGRAD,29.2,25.9,32.7,1814
76,6,41,OWS,Q037,FEMALE,27.7,25.8,29.8,2683
77,6,4,PA,Q047,OVERALL,23.1,21.7,24.5,10921
78,6,44,PA,Q047,RACE2PLUS,13.1,6.6,24.1,70
79,6,25,PA,Q047,INC75PLUS,10.6,9.0,12.3,2878
80,6,78,PA,Q047,AGEYR5564,24.6,18.7,31.6,321
81,8,1,OWS,Q037,AGEYR3544,31.9,28.0,36.1,719
82,5,72,PA,Q044,AGEYR2534,15.0,11.9,18.8,612
83,7,53,PA,Q043,INC75PLUS,65.8,63.9,67.6,3955
84,7,30,OWS,Q036,MALE,27.2,25.0,29.5,2658
85,5,66,PA,Q043,EDUHS,42.7,31.9,54.2,113
86,3,72,OWS,Q036,AGEYR2534,26.5,22.4,31.0,626
87,9,11,OWS,Q036,AGEYR65PLUS,25.9,22.5,29.5,864
88,5,72,PA,Q047,INC5075,33.2,25.8,41.5,185
89,5,72,PA,Q044,MALE,10.1,8.5,11.9,1893
90,4,6,PA,Q047,EDUCOTEC,19.6,17.5,21.7,2032
91,5,72,PA,Q044,INC2535,15.0,10.6,20.7,417
92,5,66,PA,Q043,AGEYR65PLUS,36.9,28.5,46.2,191
93,7,11,PA,Q047,RACEASN,20.2,11.4,33.0,84
94,3,27,PA,Q043,AGEYR65PLUS,52.8,49.0,56.6,3680
95,5,72,PA,Q047,INC3550,34.0,28.4,40.1,320
96,1,53,OWS,Q037,MALE,39.5,37.5,41.5,5835
97,5,13,OWS,Q036,INC75PLUS,24.6,21.3,28.2,1041
98,4,72,OWS,Q037,AGEYR65PLUS,41.8,39.0,44.6,1916
99,7,8,PA,Q047,AGEYR1824,15.7,12.5,19.4,524
100,4,66,OWS,Q036,INC2535,24.6,18.4,32.1,301
101,5,37,OWS,Q036,RACE2PLUS,15.9,9.4,25.7,89
102,7,34,PA,Q045,INCNR,27.3,23.4,31.6,1556
103,7,48,PA,Q046,EDUHSGRAD,23.0,19.9,26.6,2540
104,6,56,OWS,Q036,AGEYR3544,37.0,31.3,43.0,433
105,6,37,OWS,Q037,INCNR,34.1,30.4,38.1,945
106,6,11,OWS,Q037,EDUCOGRAD,32.2,29.5,34.9,1857
107,6,8,OWS,Q036,AGEYR4554,26.9,24.7,29.2,2191
108,6,12,PA,Q047,EDUHSGRAD,36.4,34.5,38.4,11047
109,6,56,PA,Q047,AGEYR1824,12.5,7.5,20.2,146
110,6,42,OWS,Q037,INC75PLUS,38.2,35.3,41.1,1914
111,6,78,OWS,Q036,AGEYR4554,41.4,33.3,49.8,217
112,6,21,OWS,Q036,EDUCOTEC,34.3,31.7,37.0,2718
113,6,66,OWS,Q036,EDUHS,31.9,22.6,42.9,128
114,6,56,PA,Q047,INCNR,30.8,25.1,37.1,621
115,6,66,PA,Q047,FEMALE,34.5,29.8,39.6,877
116,6,20,OWS,Q036,AGEYR3544,36.0,32.9,39.2,1224
117,6,40,OWS,Q036,FEMALE,32.2,30.2,34.3,3739
118,6,38,OWS,Q036,MALE,32.2,30.1,34.4,2541
119,6,45,PA,Q047,AGEYR4554,29.1,26.4,32.0,1721
120,6,30,OWS,Q036,OVERALL,25.5,23.9,27.2,5483
121,4,66,OWS,Q036,INC3550,28.9,23.2,35.3,361
122,5,66,PA,Q046,AGEYR1824,41.4,31.3,52.2,177
123,7,42,OWS,Q037,AGEYR4554,39.2,35.4,43.2,1087
124,5,72,PA,Q043,INCLESS15,29.7,27.4,32.2,2034
125,7,31,PA,Q047,AGEYR4554,28.4,25.7,31.2,2075
126,6,48,OWS,Q036,AGEYR2534,30.7,26.8,34.8,1098
127,6,17,PA,Q047,EDUCOTEC,20.7,18.5,23.2,1360
128,6,55,PA,Q047,INC75PLUS,9.2,7.5,11.3,1435
129,6,8,PA,Q047,AGEYR65PLUS,21.5,20.2,23.0,5128
130,6,17,OWS,Q036,AGEYR65PLUS,30.9,28.1,33.8,1492
131,6,5,OWS,Q037,INCNR,30.7,25.4,36.5,871
132,6,29,PA,Q047,EDUHSGRAD,30.6,27.9,33.5,2333
133,6,45,PA,Q047,AGEYR2534,19.1,16.1,22.3,943
134,6,26,OWS,Q036,EDUCOTEC,33.2,31.3,35.1,3445
135,6,44,OWS,Q036,RACEWHT,25.4,23.5,27.4,4117
136,6,26,OWS,Q036,INCLESS15,38.7,34.7,42.8,920
137,6,40,OWS,Q037,RACENAA,30.0,24.5,36.1,407
138,6,33,PA,Q047,AGEYR3544,18.4,14.8,22.6,593
139,6,8,PA,Q047,INC75PLUS,7.0,6.2,7.9,4913
140,6,26,OWS,Q037,AGEYR4554,38.6,36.0,41.4,1812
141,6,32,OWS,Q036,RACEASN,14.1,7.8,24.3,121
142,6,35,PA,Q047,AGEYR2534,14.5,11.2,18.5,573
143,6,55,OWS,Q036,FEMALE,29.9,27.5,32.4,2507
144,3,72,OWS,Q036,EDUHS,28.7,25.5,32.1,1235
145,5,72,PA,Q046,EDUHSGRAD,8.3,6.6,10.5,1344
146,7,35,PA,Q047,INC3550,23.5,19.2,28.5,717
147,7,66,OWS,Q036,AGEYR5564,38.1,30.7,46.0,274
148,5,66,PA,Q046,INC3550,35.3,27.2,44.4,206
149,8,48,OWS,Q037,FEMALE,27.2,24.7,29.8,5451
150,4,66,OWS,Q037,INC5075,37.2,29.3,45.8,301
151,10,49,OWS,Q037,AGEYR1824,22.9,20.0,26.1,955
152,5,72,PA,Q045,AGEYR3544,15.7,12.7,19.3,665
153,5,55,PA,Q044,INCLESS15,19.1,13.3,26.6,412
154,7,24,OWS,Q037,AGEYR65PLUS,37.1,35.1,39.1,5044
155,4,66,OWS,Q036,RACE2PLUS,32.5,25.7,40.1,323
156,5,72,PA,Q044,AGEYR3544,8.5,6.5,11.1,665
157,7,19,PA,Q047,OVERALL,25.0,23.8,26.2,7145
158,5,72,PA,Q047,EDUHS,60.5,56.8,64.0,1097
159,4,66,OWS,Q036,RACEHPI,39.8,35.5,44.3,821
160,10,1,OWS,Q036,MALE,37.7,35.0,40.4,2089
161,4,66,OWS,Q037,INCNR,32.7,24.4,42.2,199
162,5,72,PA,Q044,INCLESS15,4.5,3.5,5.9,2031
163,4,72,OWS,Q037,OVERALL,37.6,36.0,39.2,5743
164,5,72,OWS,Q037,EDUHS,39.4,35.9,43.1,1031
165,5,72,PA,Q045,INC1525,16.4,13.9,19.1,1218
166,6,4,OWS,Q036,AGEYR4554,36.4,32.7,40.3,1281
167,6,28,OWS,Q036,AGEYR5564,39.8,36.1,43.6,1068
168,6,48,PA,Q047,INCLESS15,44.6,39.3,50.0,1158
169,6,41,OWS,Q037,INCLESS15,32.9,27.3,39.0,366
170,6,33,PA,Q047,AGEYR2534,12.2,8.9,16.6,458
171,6,10,OWS,Q037,EDUCOTEC,37.0,32.8,41.4,920
172,6,78,OWS,Q036,INC1525,34.0,25.2,44.0,231
173,6,31,OWS,Q036,INCLESS15,35.9,30.9,41.2,1005
174,6,15,OWS,Q037,EDUHS,27.9,21.3,35.6,276
175,6,20,OWS,Q036,RACEHIS,32.9,28.2,37.9,493
176,6,18,OWS,Q037,AGEYR2534,33.4,29.4,37.6,733
177,6,36,PA,Q047,AGEYR65PLUS,30.9,29.0,33.0,11279
178,6,18,OWS,Q037,AGEYR3544,36.3,32.6,40.1,1022
179,6,26,PA,Q047,EDUCOTEC,21.9,20.4,23.5,3740
180,6,17,PA,Q047,AGEYR2534,19.8,15.9,24.4,538
181,6,8,OWS,Q037,AGEYR5564,38.9,36.8,41.0,3151
182,9,11,PA,Q043,FEMALE,55.4,51.7,59.1,1215
183,10,13,OWS,Q036,MALE,33.3,30.8,35.9,3669
184,5,66,OWS,Q037,INC75PLUS,40.1,32.7,47.9,309
185,5,72,PA,Q046,RACEHIS,10.8,9.8,12.0,5244
186,1,10,PA,Q047,INC5075,24.4,20.2,29.0,707
187,4,28,OWS,Q037,MALE,39.6,36.3,42.9,1475
188,8,19,OWS,Q036,EDUHSGRAD,38.0,35.9,40.1,2654
189,5,72,PA,Q046,INC2535,20.4,15.5,26.3,421
190,10,25,OWS,Q036,RACEHIS,32.6,27.3,38.3,503
191,7,15,FV,Q019,AGEYR4554,17.1,14.5,20.1,1124
192,5,72,OWS,Q037,INC5075,39.5,31.6,48.0,186
193,5,72,OWS,Q036,AGEYR65PLUS,23.2,20.7,25.8,1647
194,6,72,OWS,Q037,MALE,38.4,35.6,41.2,2105
195,6,27,OWS,Q036,INC5075,29.2,27.1,31.4,2452
196,6,39,OWS,Q037,RACEASN,25.9,16.7,37.9,109
197,6,50,OWS,Q037,INC75PLUS,36.2,33.2,39.4,1691
198,6,18,OWS,Q037,AGEYR4554,33.5,30.5,36.5,1550
199,6,13,OWS,Q036,INCNR,23.6,19.8,28.0,776
200,6,19,OWS,Q036,INCLESS15,38.3,32.1,44.9,419
201,6,38,PA,Q047,RACEWHT,21.6,20.2,23.1,5250
202,6,42,PA,Q047,RACE2PLUS,12.9,7.0,22.5,91
203,6,17,OWS,Q036,RACEASN,11.5,6.9,18.6,165
204,6,5,OWS,Q036,INC5075,31.1,25.2,37.6,602
205,6,78,PA,Q047,MALE,23.5,18.0,30.0,483
206,6,49,PA,Q047,MALE,14.7,13.4,16.1,5082
207,6,12,OWS,Q037,AGEYR65PLUS,39.7,37.9,41.6,13657
208,6,47,OWS,Q037,INC3550,32.0,27.7,36.6,769
209,6,11,OWS,Q036,RACEBLK,37.4,34.8,40.0,1901
210,5,72,PA,Q044,AGEYR65PLUS,2.2,1.6,3.1,1682
211,6,39,OWS,Q036,AGEYR2534,29.7,26.1,33.6,944
212,6,19,OWS,Q036,AGEYR1824,18.4,14.4,23.3,364
213,6,21,OWS,Q037,AGEYR4554,37.0,33.5,40.5,1619
214,6,17,OWS,Q037,EDUHSGRAD,32.5,29.2,36.0,1037
215,6,29,PA,Q047,AGEYR2534,22.1,17.7,27.3,579
216,6,78,OWS,Q036,EDUCOGRAD,32.5,26.0,39.7,365
217,6,25,PA,Q047,OVERALL,20.0,18.8,21.3,8393
218,6,47,OWS,Q036,EDUHSGRAD,36.7,33.6,40.0,1831
219,6,45,OWS,Q037,EDUHS,32.2,28.4,36.2,1132
220,6,21,OWS,Q037,AGEYR3544,31.2,27.3,35.3,1075
221,6,51,OWS,Q036,AGEYR2534,25.7,22.6,29.0,895
222,6,6,OWS,Q036,RACEWHT,23.3,21.8,24.8,5273
223,6,17,PA,Q047,INCLESS15,39.4,33.6,45.5,412
224,6,27,OWS,Q036,RACEWHT,27.6,26.7,28.5,13621
225,6,41,OWS,Q036,INC1525,32.7,28.6,37.1,681
226,5,72,OWS,Q037,INC3550,43.7,37.5,50.0,317
227,7,51,PA,Q047,MALE,24.7,22.8,26.7,3935
228,5,66,OWS,Q037,INC5075,38.9,30.1,48.5,201
229,7,9,OWS,Q036,AGEYR65PLUS,26.4,24.5,28.5,3371
230,5,66,OWS,Q036,AGEYR4554,39.9,32.2,48.1,309
231,7,42,PA,Q047,AGEYR4554,25.2,22.0,28.7,1069
232,5,66,PA,Q047,AGEYR65PLUS,51.1,41.8,60.3,195
233,3,72,OWS,Q036,AGEYR3544,33.8,29.7,38.0,778
234,5,66,PA,Q047,INCLESS15,46.2,35.6,57.0,187
235,3,46,OWS,Q037,INCLESS15,33.6,27.3,40.6,559
236,4,2,OWS,Q036,RACEASN,17.8,10.1,29.4,73
237,5,66,PA,Q046,INC75PLUS,34.6,27.6,42.3,295
238,7,35,FV,Q018,MALE,41.2,38.5,43.8,2613
239,4,66,OWS,Q036,AGEYR2534,34.6,29.0,40.6,465
240,8,48,OWS,Q036,MALE,33.5,30.8,36.4,4698
241,5,66,PA,Q047,RACEWHT,17.5,11.2,26.2,142
242,7,9,OWS,Q037,RACEOTH,33.1,23.4,44.4,107
243,5,34,PA,Q043,INCLESS15,37.6,30.4,45.3,566
244,6,40,PA,Q047,MALE,25.6,23.6,27.8,2798
245,6,36,PA,Q047,RACEWHT,22.1,21.1,23.2,27692
246,6,78,PA,Q047,AGEYR3544,29.3,18.4,43.4,99
247,6,55,OWS,Q037,RACEWHT,35.3,33.5,37.2,4161
248,6,29,PA,Q047,RACEWHT,23.1,21.7,24.7,5904
249,6,45,OWS,Q036,AGEYR65PLUS,28.7,26.9,30.6,4262
250,6,16,OWS,Q037,EDUHS,33.8,26.9,41.5,314
251,6,17,OWS,Q036,AGEYR2534,27.6,23.3,32.3,505
252,6,42,PA,Q047,AGEYR1824,13.5,10.3,17.7,558
253,6,2,OWS,Q037,OVERALL,35.3,32.4,38.2,2739
254,6,28,PA,Q047,EDUCOGRAD,16.5,14.4,18.8,1454
255,6,48,PA,Q047,RACEBLK,27.6,22.9,33.0,931
256,6,37,OWS,Q036,INC5075,33.4,29.5,37.5,784
257,6,18,OWS,Q037,EDUCOGRAD,35.9,33.7,38.1,3400
258,6,48,OWS,Q036,RACEWHT,31.0,28.9,33.2,6941
259,6,56,OWS,Q037,EDUCOGRAD,38.4,34.8,42.1,1427
260,6,53,OWS,Q036,RACE2PLUS,33.5,27.7,39.8,323
261,5,72,PA,Q047,OVERALL,48.1,46.4,49.7,5301
262,5,66,PA,Q046,RACEASN,30.4,24.9,36.6,432
263,5,66,OWS,Q036,MALE,33.4,28.8,38.4,761
264,3,44,OWS,Q037,INC5075,41.4,37.0,45.9,849
265,7,36,PA,Q043,AGEYR65PLUS,52.7,50.2,55.1,3202
266,4,66,OWS,Q037,INC1525,40.9,34.2,48.0,421
267,10,72,OWS,Q036,INC3550,32.6,26.9,38.9,322
268,10,25,OWS,Q037,EDUHSGRAD,33.9,30.5,37.5,1139
269,10,24,PA,Q047,RACENAA,22.0,11.6,37.9,75
270,10,34,PA,Q047,FEMALE,23.0,21.5,24.5,5891
271,10,46,PA,Q047,OVERALL,22.4,20.3,24.6,6909
272,10,26,OWS,Q037,INCLESS15,28.9,23.3,35.3,376
273,10,50,PA,Q047,RACEOTH,26.6,13.5,45.6,60
274,10,4,OWS,Q037,INCNR,32.8,29.4,36.3,1486
275,10,39,PA,Q047,AGEYR5564,27.0,24.9,29.3,2955
276,10,50,OWS,Q037,INC2535,38.1,31.7,45.0,497
277,10,42,OWS,Q037,AGEYR65PLUS,39.0,35.5,42.6,1382
278,10,32,OWS,Q036,INCLESS15,36.4,26.5,47.5,144
279,10,45,OWS,Q036,EDUHSGRAD,37.0,33.3,40.8,1001
280,10,51,OWS,Q037,OVERALL,35.1,33.7,36.5,8568
281,10,72,PA,Q047,INC5075,31.6,25.5,38.5,242
282,10,45,OWS,Q036,INC5075,34.9,29.6,40.6,491
283,10,55,OWS,Q036,RACEWHT,31.4,29.5,33.4,3959
284,10,35,OWS,Q036,RACEBLK,40.9,25.5,58.2,73
285,10,13,OWS,Q037,INC5075,34.8,30.3,39.6,1063
286,10,51,PA,Q047,INC2535,27.1,22.9,31.7,731
287,10,6,OWS,Q037,INC75PLUS,33.4,30.6,36.5,1773
288,10,22,OWS,Q037,INC3550,32.5,27.4,38.1,462
289,10,35,OWS,Q036,EDUHS,34.9,29.4,40.8,614
290,10,55,PA,Q047,AGEYR2534,14.6,10.7,19.6,498
291,10,24,PA,Q047,AGEYR3544,20.1,17.7,22.8,1751
292,10,32,OWS,Q036,RACEASN,4.4,1.4,12.7,59
293,10,41,OWS,Q037,RACEBLK,33.4,22.2,46.8,63
294,10,40,OWS,Q036,INC75PLUS,34.9,31.5,38.4,1087
295,10,38,PA,Q047,RACE2PLUS,10.4,3.9,25.2,54
296,10,66,PA,Q047,AGEYR65PLUS,33.9,23.1,46.6,473
297,10,13,PA,Q047,INC2535,29.7,24.6,35.2,739
298,3,37,OWS,Q037,AGEYR65PLUS,40.2,37.7,42.7,2800
299,10,47,OWS,Q037,INC75PLUS,37.0,33.3,40.8,1132
300,10,53,PA,Q047,RACEWHT,15.6,14.7,16.6,10081
301,10,4,PA,Q047,EDUHSGRAD,26.7,24.3,29.2,2463
302,10,54,OWS,Q037,MALE,35.1,32.8,37.4,2495
303,10,11,OWS,Q037,INC2535,34.9,25.0,46.2,132
304,10,46,PA,Q047,EDUHS,42.9,32.0,54.6,327
305,10,45,PA,Q047,AGEYR2534,16.9,12.8,22.0,408
306,10,30,OWS,Q037,MALE,41.2,39.1,43.3,3012
307,5,66,PA,Q046,RACEHIS,44.8,33.7,56.4,125
308,10,30,OWS,Q037,AGEYR65PLUS,40.4,37.8,42.9,2123
309,10,2,OWS,Q036,OVERALL,31.9,29.4,34.4,3335
310,10,40,OWS,Q036,RACENAA,42.7,36.5,49.2,388
311,10,55,OWS,Q036,RACEASN,16.7,8.3,30.7,58
312,10,29,PA,Q047,EDUCOTEC,24.0,22.0,26.1,2585
313,10,37,OWS,Q036,AGEYR4554,40.8,36.9,44.8,866
314,10,56,OWS,Q036,AGEYR4554,39.9,34.8,45.3,493
315,10,31,OWS,Q037,RACEWHT,35.7,34.4,37.0,12003
316,10,1,PA,Q047,RACEBLK,34.6,31.4,38.1,1346
317,10,31,OWS,Q037,INC2535,33.6,29.9,37.4,1282
318,10,72,OWS,Q037,AGEYR65PLUS,39.8,33.6,46.3,1060
319,10,23,OWS,Q037,EDUHSGRAD,34.6,31.8,37.4,2603
320,10,23,OWS,Q037,RACE2PLUS,26.0,16.5,38.4,100
321,10,20,OWS,Q037,AGEYR1824,31.2,27.0,35.7,659
322,10,2,OWS,Q037,INC1525,28.2,21.6,35.9,332
323,10,48,OWS,Q037,RACENAA,25.7,12.8,45.0,70
324,10,21,OWS,Q037,RACEBLK,24.8,18.2,32.8,209
325,10,24,OWS,Q036,INC5075,33.5,30.2,37.0,1635
326,10,39,OWS,Q036,INCLESS15,38.6,34.0,43.3,989
327,10,9,OWS,Q037,INCLESS15,28.1,22.1,34.8,401
328,10,13,OWS,Q036,RACENAA,43.0,25.3,62.7,70
329,10,18,OWS,Q037,RACENAA,21.1,10.8,36.9,51
330,10,34,OWS,Q036,INC3550,33.1,28.6,37.8,756
331,10,44,OWS,Q036,AGEYR65PLUS,26.4,23.7,29.4,1651
332,10,18,PA,Q047,RACEBLK,28.4,24.5,32.7,722
333,10,29,OWS,Q036,INCNR,29.4,26.3,32.6,1455
334,10,23,OWS,Q037,OVERALL,34.6,33.2,36.1,9682
335,10,41,PA,Q047,RACE2PLUS,17.4,10.9,26.5,124
336,8,25,OWS,Q037,EDUHSGRAD,37.1,33.7,40.6,1133
337,8,24,PA,Q047,RACENAA,24.6,15.3,37.1,120
338,8,34,PA,Q047,FEMALE,30.8,27.1,34.8,1601
339,8,46,PA,Q047,OVERALL,24.0,22.2,25.9,7088
340,8,26,OWS,Q037,INCLESS15,27.5,23.3,32.1,702
341,8,50,PA,Q047,RACEOTH,31.7,16.8,51.6,60
342,5,66,OWS,Q036,EDUCOGRAD,26.4,20.8,32.8,480
343,8,4,OWS,Q037,INCNR,33.9,29.5,38.5,1140
344,8,39,PA,Q047,AGEYR5564,28.1,25.9,30.3,2918
345,8,50,OWS,Q037,INC2535,29.8,24.3,35.9,556
346,8,42,OWS,Q037,AGEYR65PLUS,39.0,36.0,42.2,1704
347,8,32,OWS,Q036,INCLESS15,41.3,32.2,51.1,196
348,8,45,OWS,Q036,EDUHSGRAD,36.8,34.4,39.3,2974
349,8,51,OWS,Q037,OVERALL,35.9,34.6,37.3,9517
350,8,72,PA,Q047,INC5075,25.9,19.2,33.8,175
351,8,45,OWS,Q036,INC5075,35.0,31.5,38.7,1372
352,8,55,OWS,Q036,RACEWHT,31.4,29.5,33.3,3926
353,8,35,OWS,Q036,RACEBLK,30.8,17.6,48.2,75
354,8,13,OWS,Q037,INC5075,35.9,32.3,39.6,1021
355,8,51,PA,Q047,INC2535,30.8,26.4,35.6,820
356,8,6,OWS,Q037,INC75PLUS,38.4,36.4,40.5,3852
357,8,22,OWS,Q037,INC3550,32.8,27.9,38.0,524
358,8,35,OWS,Q036,EDUHS,39.1,34.6,43.9,721
359,8,55,PA,Q047,AGEYR2534,21.7,17.6,26.5,521
360,8,24,PA,Q047,AGEYR3544,18.7,16.3,21.3,1686
361,8,32,OWS,Q036,RACEASN,14.8,6.7,29.8,78
362,8,41,OWS,Q037,RACEBLK,39.4,25.7,54.9,59
363,8,40,OWS,Q036,INC75PLUS,34.0,30.7,37.4,1145
364,8,38,PA,Q047,RACE2PLUS,28.7,15.1,47.8,54
365,8,66,PA,Q047,AGEYR65PLUS,33.4,26.7,40.9,355
366,8,13,PA,Q047,INC2535,27.9,24.1,32.1,780
367,8,47,OWS,Q037,INC75PLUS,36.7,32.9,40.5,1149
368,8,53,PA,Q047,RACEWHT,16.3,15.4,17.3,10529
369,8,4,PA,Q047,EDUHSGRAD,26.0,23.2,29.1,2004
370,8,54,OWS,Q037,MALE,35.3,32.8,37.8,2077
371,8,11,OWS,Q037,INC2535,32.4,23.6,42.6,222
372,8,46,PA,Q047,EDUHS,34.6,26.6,43.5,416
373,8,45,PA,Q047,AGEYR2534,23.0,19.6,26.8,792
374,8,30,OWS,Q037,MALE,41.5,38.9,44.1,2333
375,8,30,OWS,Q037,AGEYR65PLUS,41.1,38.0,44.2,1826
376,8,2,OWS,Q036,OVERALL,29.5,27.0,32.2,2600
377,8,40,OWS,Q036,RACENAA,38.0,31.8,44.7,323
378,8,29,PA,Q047,EDUCOTEC,22.8,20.3,25.5,1723
379,8,37,OWS,Q036,AGEYR4554,44.5,40.1,49.1,730
380,8,56,OWS,Q036,AGEYR4554,39.9,35.1,44.8,482
381,8,31,OWS,Q037,RACEWHT,35.1,33.9,36.4,12136
382,8,1,PA,Q047,RACEBLK,35.0,32.0,38.2,1695
383,8,31,OWS,Q037,INC2535,31.6,28.1,35.4,1390
384,8,72,OWS,Q037,AGEYR65PLUS,43.9,40.6,47.2,1266
385,8,23,OWS,Q037,EDUHSGRAD,36.2,33.5,39.0,2954
386,8,23,OWS,Q037,RACE2PLUS,34.0,22.5,47.8,193
387,8,20,OWS,Q037,AGEYR1824,28.1,24.2,32.3,606
388,8,2,OWS,Q037,INC1525,36.0,28.6,44.1,292
389,8,48,OWS,Q037,RACENAA,22.3,11.1,39.8,104
390,8,21,OWS,Q037,RACEBLK,27.7,21.6,34.7,861
391,5,72,PA,Q047,FEMALE,52.7,50.6,54.7,3378
392,8,24,OWS,Q036,INC5075,30.0,27.1,33.0,2136
393,8,39,OWS,Q036,INCLESS15,36.4,31.8,41.3,1041
394,8,9,OWS,Q037,INCLESS15,32.7,26.7,39.3,420
395,8,13,OWS,Q036,RACENAA,17.5,9.9,29.1,84
396,8,18,OWS,Q037,RACENAA,11.5,4.9,24.5,54
